DATE,MAX_TEMPERATURE_C
10022011,20
11022011,22
12022011,19
13022011,19
14022011,18
15022011,20
16022011,18
17022011,16
18022011,18
19022011,19
20022011,18
21022011,18
22022011,19
23022011,19
24022011,20
25022011,21
26022011,22
27022011,21
28022011,18
01032011,17
02032011,15
03032011,16
04032011,16
05032011,17
06032011,19
07032011,21
08032011,18
09032011,19
10032011,21
11032011,20
12032011,20
13032011,20
14032011,16
15032011,14
16032011,14
17032011,18
18032011,20
19032011,25
20032011,26
21032011,26
22032011,23
23032011,23
24032011,22
25032011,21
26032011,21
27032011,19
28032011,20
29032011,20
30032011,22
31032011,27
01042011,33
02042011,28
03042011,18
04042011,19
05042011,26
06042011,22
07042011,26
08042011,33
09042011,24
10042011,24
11042011,24
12042011,26
13042011,32
14042011,29
15042011,27
16042011,23
17042011,24
18042011,26
19042011,24
20042011,24
21042011,21
22042011,19
23042011,20
24042011,19
25042011,21
26042011,24
27042011,24
28042011,23
29042011,19
30042011,21
01052011,17
02052011,17
03052011,20
04052011,21
05052011,23
06052011,23
07052011,21
08052011,23
09052011,26
10052011,30
11052011,30
12052011,30
13052011,30
14052011,31
15052011,32
16052011,30
17052011,29
18052011,25
19052011,24
20052011,23
21052011,26
22052011,28
23052011,31
24052011,31
25052011,31
26052011,23
27052011,31
28052011,25
29052011,26
30052011,24
31052011,24
01062011,26
02062011,28
03062011,26
04062011,26
05062011,24
06062011,24
07062011,22
08062011,24
09062011,23
10062011,24
11062011,26
12062011,28
13062011,27
14062011,29
15062011,29
16062011,29
17062011,26
18062011,28
19062011,30
20062011,32
21062011,33
22062011,31
23062011,29
24062011,31
25062011,38
26062011,36
27062011,33
28062011,31
29062011,31
30062011,32
01072011,36
02072011,37
03072011,24
04072011,25
05072011,29
06072011,29
07072011,28
08072011,27
09072011,28
10072011,28
11072011,28
12072011,27
13072011,28
14072011,29
15072011,30
16072011,30
17072011,28
18072011,24
19072011,26
20072011,28
21072011,29
22072011,27
23072011,27
24072011,27
25072011,29
26072011,32
27072011,30
28072011,32
29072011,33
30072011,30
31072011,31
01082011,29
02082011,26
03082011,28
04082011,29
05082011,30
06082011,29
07082011,30
08082011,31
09082011,33
10082011,34
11082011,32
12082011,30
13082011,30
14082011,31
15082011,32
16082011,30
17082011,29
18082011,30
19082011,30
20082011,31
21082011,29
22082011,28
23082011,26
24082011,28
25082011,30
26082011,26
27082011,29
28082011,30
29082011,29
30082011,28
31082011,29
01092011,29
02092011,26
03092011,26
04092011,26
05092011,28
06092011,32
07092011,34
08092011,35
09092011,34
10092011,28
11092011,27
12092011,28
13092011,30
14092011,29
15092011,28
16092011,28
17092011,28
18092011,27
19092011,28
20092011,29
21092011,28
22092011,27
23092011,25
24092011,26
25092011,26
26092011,27
27092011,27
28092011,29
29092011,31
30092011,30
01102011,29
02102011,30
03102011,29
04102011,30
05102011,31
06102011,30
07102011,31
08102011,29
09102011,30
10102011,32
11102011,30
12102011,30
13102011,30
14102011,30
15102011,31
16102011,30
17102011,30
18102011,29
19102011,29
20102011,28
21102011,27
22102011,26
23102011,25
24102011,24
25102011,23
26102011,25
27102011,23
28102011,22
29102011,22
30102011,24
31102011,27
01112011,25
02112011,26
03112011,23
04112011,20
05112011,18
06112011,20
07112011,20
08112011,21
09112011,24
10112011,27
11112011,27
12112011,30
13112011,30
14112011,23
15112011,21
16112011,20
17112011,21
18112011,23
19112011,19
20112011,18
21112011,18
22112011,17
23112011,17
24112011,21
25112011,20
26112011,20
27112011,21
28112011,22
29112011,23
30112011,24
01122011,24
02122011,21
03122011,17
04122011,17
05122011,19
06122011,19
07122011,21
08122011,22
09122011,21
10122011,20
11122011,19
12122011,18
13122011,21
14122011,21
15122011,19
16122011,20
17122011,18
18122011,17
19122011,16
20122011,18
21122011,20
22122011,21
23122011,21
24122011,21
25122011,22
26122011,23
27122011,21
28122011,19
29122011,17
30122011,19
31122011,19
01012012,20
02012012,18
03012012,19
04012012,20
05012012,22
06012012,22
07012012,21
08012012,21
09012012,20
10012012,21
11012012,21
12012012,21
13012012,22
14012012,20
15012012,21
16012012,17
17012012,16
18012012,17
19012012,17
20012012,17
21012012,19
22012012,19
23012012,18
24012012,20
25012012,20
26012012,17
27012012,16
28012012,17
29012012,17
30012012,17
31012012,22
01022012,22
02022012,16
03022012,13
04022012,10
05022012,12
06022012,17
07022012,18
08022012,17
09022012,13
10022012,15
11022012,17
12022012,16
13022012,14
14022012,15
15022012,16
16022012,19
17022012,20
18022012,18
19022012,17
20022012,18
21022012,17
22022012,17
23022012,18
24022012,20
25022012,20
26022012,20
27022012,20
28022012,21
29022012,19
01032012,18
02032012,18
03032012,18
04032012,19
05032012,20
06032012,20
07032012,18
08032012,20
09032012,21
10032012,23
11032012,20
12032012,22
13032012,24
14032012,25
15032012,22
16032012,22
17032012,23
18032012,19
19032012,19
20032012,18
21032012,18
22032012,24
23032012,29
24032012,26
25032012,25
26032012,26
27032012,28
28032012,28
29032012,23
30032012,21
31032012,20
01042012,19
02042012,20
03042012,20
04042012,18
05042012,18
06042012,17
07042012,20
08042012,23
09042012,25
10042012,20
11042012,21
12042012,18
13042012,17
14042012,19
15042012,17
16042012,17
17042012,20
18042012,21
19042012,19
20042012,20
21042012,20
22042012,21
23042012,20
24042012,21
25042012,21
26042012,21
27042012,23
28042012,18
29042012,18
30042012,19
01052012,21
02052012,22
03052012,22
